姓名,年龄,出生年月,求职意向,电话,邮箱,教育经历,最高学位,工作经历,能力证书和技能等级认证,政治面貌,个人技能,荣誉奖励,身高,体重,籍贯,所在地,工作年限
张吉惟,26,1998.11,行政管理类,13899999999,zhangjiwei@163.com,"[{'学习时间': '2015-2019', '院校名称': '北京师范大学', '学位': '本科', '专业': '国际经济与贸易'}]","{'学位': '本科', '授予院校': '北京师范大学'}","[{'公司名称': '北京猫眼机械有限公司', '职位': '部长助理', '工作时间': '2022.3-2023.4', '是否为实习经历': False}, {'公司名称': '北京猫眼国际货运代理有限公司', '职位': '总经理助理', '工作时间': '2021.2-2022.3', '是否为实习经历': False}, {'公司名称': '北京猫眼文化传媒有限公司', '职位': '运营助理', '工作时间': '2020.2-2021.2', '是否为实习经历': False}]","[{'名称': '大学英语6级证书（CET-6）', '获得时间': '2018'}]",党员,"['EXCEL', 'PPT', 'WORD', 'AI']","[{'名称': '全国大学生英语竞赛一等奖', '获得时间': '2016'}, {'名称': '国家级一等奖学金', '获得时间': '2017'}]",178cm,50kg,北京海淀区,,4
林国瑞,34,1990.2.8,市场专员,13831088888,linguorui@qq.com,"[{'学习时间': '2008.9-2012.6', '院校名称': '中国传媒大学', '学位': '本科', '专业': '艺术设计'}]","{'学位': '本科', '授予院校': '中国传媒大学'}","[{'公司名称': '阿里巴巴公司', '职位': '个人资料市场经理助理', '工作时间': '2018.5--2023.4', '是否为实习经历': False}, {'公司名称': '腾讯公司', '职位': '市场经理', '工作时间': '2013.1-2018.5', '是否为实习经历': False}]","[{'名称': '英语四六级', '获得时间': None}]",,"['平面设计', '办公软件', 'CSS']","[{'名称': '优秀班干', '获得时间': None}, {'名称': '第四届全国大学生广告艺术设计大赛平面作品类三等奖', '获得时间': '2011'}]",,,北京,,11
林玟书,28,1996.05,市场运营专员,13801138023,linwenshu@qq.com,"[{'学习时间': '2014.07-2018.06', '院校名称': '南方科技大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '本科', '授予院校': '南方科技大学'}","[{'公司名称': '原淼科技信息有限公司', '职位': '市场营销（实习生）', '工作时间': '2017.04-2019.04', '是否为实习经历': True}, {'公司名称': '彩讯科技有限公司', '职位': '软件工程师', '工作时间': '2019.04-2023.03', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '大学英语四/六级（CET-4/6）', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}]",,"['处理客户投诉能力', '销售技巧', '团队合作精神', '数据分析能力', '客户需求分析', '电商客服', '业务流程优化', '办公软件熟练']","[{'名称': '优秀团员', '获得时间': '2014-2015学年'}, {'名称': '艺术活动优秀奖', '获得时间': '2014-2015学年'}, {'名称': '优秀学生干部', '获得时间': '2015-2016学年'}, {'名称': '学生会优秀干部称号', '获得时间': '2015-2016学年'}, {'名称': '社会工作先进个人', '获得时间': '2017-2018学年'}, {'名称': '优秀学生干部称号', '获得时间': '2017-2018学年'}]",,,,广东省广州市,4
林雅南,28,1996.05,市场总监-专注品牌方向,13801138823,linyanan@qq.com,"[{'学习时间': '2014.09-2018.06', '院校名称': '华南师范大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '本科', '授予院校': '华南师范大学'}","[{'公司名称': '金恪投资控股集团', '职位': '副总监', '工作时间': '2021.09--2023.4', '是否为实习经历': False}, {'公司名称': '华泛科技有限公司', '职位': '市场及运营总监', '工作时间': '2020.08-2021.09', '是否为实习经历': False}, {'公司名称': '优酷俱乐部', '职位': '市场副总监', '工作时间': '2019.12-2020.08', '是否为实习经历': False}, {'公司名称': '伊淼集团', '职位': '市场部-市场经理', '工作时间': '2018.08-2019.12', '是否为实习经历': False}]","[{'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",中共党员,"['团队管理和领导能力', '组织策划能力', '客户资源和渠道拓展与管理经验', '市场营销策划和领导经验', '媒体资源和品牌圈层关系网络', '推广媒体和渠道的熟练使用', '活动营销、PR营销、BD操作经验']","[{'名称': '新长城华南师范大学自强社“优秀社员”', '获得时间': '2016年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2015年'}, {'名称': '华南师范大学学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2015年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2015年'}, {'名称': '华南师范大学盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2015年'}, {'名称': '华南高校大学生主题征文一等奖', '获得时间': '2014年'}, {'名称': '华南师范大学“点燃中国梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2014年'}]",,,,广东省广州市海珠区,5
江奕云,28,1996.05,市场总监-专注品牌方向,13812138123,nesson@91muban.cn,"[{'学习时间': '2014.09-2018.06', '院校名称': '华南理工大学', '学位': '本科', '专业': '市场营销'}]","{'学位': '本科', '授予院校': '华南理工大学'}","[{'公司名称': '清河投资控股集团', '职位': '副总监', '工作时间': '2020.10--2023.4', '是否为实习经历': False}, {'公司名称': '华拓科技有限公司', '职位': '市场及运营总监', '工作时间': '2018.10-2020.10', '是否为实习经历': False}]","[{'名称': '计算机四级证书', '获得时间': None}, {'名称': '大学英语四、六级证书', '获得时间': None}]",,,"[{'名称': '华南理工大学自强社“优秀社员”', '获得时间': '2017年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2017年'}, {'名称': '华南理工大学学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2016年'}, {'名称': '华南理工大学盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2015年'}, {'名称': '华南理工大学“点燃中国梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2015年'}]",,,,广东省广州市海珠区,5
刘柏宏,31,1993.05,,13889138123,liubohong@qq.com,"[{'学习时间': '2011.09-2014.06', '院校名称': '广东师范专科学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '广东师范专科学院'}","[{'公司名称': '漫圈投资控股集团', '职位': '副总监', '工作时间': '2019.10--2023.4', '是否为实习经历': False}, {'公司名称': '中南科技有限公司', '职位': '市场及运营总监', '工作时间': '2014.10-2019.10', '是否为实习经历': False}]","[{'名称': '计算机四级证书', '获得时间': None}, {'名称': '大学英语四、六级证书', '获得时间': None}]",中共党员,[],"[{'名称': '广东师范专科学院自强社“优秀社员”', '获得时间': '2014年'}, {'名称': '“三下乡”社会实践活动“优秀学生”', '获得时间': '2013年'}, {'名称': '广东师范专科学院学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2013年'}, {'名称': '广东师范专科学院盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2012年'}, {'名称': '广东师范专科学院“畅享青春”微博文征集大赛二等奖', '获得时间': '2011年'}]",177,,,广东省广州市海珠区,9
阮建安,29,1995.05,市场营销总监,13818138525,ruanjianna@qq.com,"[{'学习时间': '2013.09-2016.06', '院校名称': '广州新安职业技术学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '广州新安职业技术学院'}","[{'公司名称': '微安控股集团', '职位': '副总监', '工作时间': '2019.10--2023.4', '是否为实习经历': False}, {'公司名称': '利群有限公司', '职位': '市场及运营总监', '工作时间': '2016.10-2019.10', '是否为实习经历': False}]","[{'名称': '计算机四级证书', '获得时间': None}, {'名称': '大学英语四六级证书', '获得时间': None}]",中共党员,[],"[{'名称': '新安职业技术学院自强社“优秀社员”', '获得时间': '2016年'}, {'名称': '“三下乡”社会实践活动“优秀学生”', '获得时间': '2015年'}, {'名称': '新安职业技术学院学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2015年'}, {'名称': '新安职业技术学院盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2015年'}, {'名称': '新安职业技术学院“点燃中华梦 畅享我青春”微博文征集大赛二等奖', '获得时间': '2014年'}]",177,,,广东省广州市海珠区,7
林子帆,28,1996.05,市场营销总监,13808138036,linzifan@qq.com,"[{'学习时间': '2014.09-2017.06', '院校名称': '阳江职业学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '阳江职业学院'}","[{'公司名称': '奈森投资控股集团', '职位': '副总监', '工作时间': '2017.01--2023.4', '是否为实习经历': False}, {'公司名称': '杰森科技有限公司', '职位': '市场及运营总监', '工作时间': '2020.01-2021.01', '是否为实习经历': False}, {'公司名称': '乐透俱乐部', '职位': '市场副总监', '工作时间': '2018.01-2019.01', '是否为实习经历': False}]","[{'名称': '大学英语四/六级（CET-4/6）', '获得时间': None}]",中共党员,"['普通话一级甲等', '英语', '汉语', '粤语']","[{'名称': '自强社“优秀社员”', '获得时间': '2016年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2016年'}, {'名称': '盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2015年'}, {'名称': '高校学生主题征文一等奖', '获得时间': '2014年'}]",177cm,142kg,湖南,广东省广州市海珠区,9
夏志豪,28,1996.05,市场总监-专注品牌方向,13822138221,xiazhihao@qq.com,"[{'学习时间': '2014.07-2017.06', '院校名称': '广州文艺职业技术学院', '学位': '大专', '专业': '市场营销'}, {'学习时间': '2011.07-2014.06', '院校名称': '广州第十八中学', '学位': '高中', '专业': '文科'}]","{'学位': '大专', '授予院校': '广州文艺职业技术学院'}","[{'公司名称': '金地投资控股集团', '职位': '副总监', '工作时间': '2021.09--2023.4', '是否为实习经历': False}, {'公司名称': '漫才股份有限公司', '职位': '市场及运营总监', '工作时间': '2019.09-2020.09', '是否为实习经历': False}, {'公司名称': '逍遥游俱乐部', '职位': '市场副总监', '工作时间': '2018.09-2019.09', '是否为实习经历': False}, {'公司名称': '强盛集团', '职位': '市场部-市场经理', '工作时间': '2017.09-2018.09', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,"['团队管理', '领导能力', '组织策划', '客户资源管理', '渠道拓展与管理', '市场营销策划', '人才发掘和培养', '媒体资源管理', '品牌圈层关系网络', '营销策略制定', '广告策略制定', '公关策略制定', '媒体投放计划制定', '数据分析与报告撰写', '行业发展动态研究', '市场调查', '活动营销', 'PR营销', 'BD', '微信企业号功能与架构', '绘声绘色软件使用', '剪辑', '英语听说读写能力', '阅读', '旅行', '骑行', '音乐', '爬山']","[{'名称': '新长城自强社“优秀社员”', '获得时间': '2016年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2015年'}, {'名称': '学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2015年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2015年'}, {'名称': '盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2015年'}, {'名称': '大学生主题征文一等奖', '获得时间': '2014年'}, {'名称': '燃梦，畅享青春”微博文征集大赛二等奖', '获得时间': '2014年'}]",,,,广东省广州市海珠区,5
吉茹定,30,1994.05.04,市场总监-专注品牌方向,13823138023,nesson@91muban.cn,"[{'学习时间': '2012.09-2015.06', '院校名称': '广州科学技术职业学院', '学位': '大专', '专业': '市场营销'}]","{'学位': '大专', '授予院校': '广州科学技术职业学院'}","[{'公司名称': '驰诚控股集团', '职位': '副总监', '工作时间': '2017.08--2023.4', '是否为实习经历': False}, {'公司名称': '君豪有限公司', '职位': '市场及运营总监', '工作时间': '2016.08-2017.08', '是否为实习经历': False}, {'公司名称': '卓宁俱乐部', '职位': '市场副总监', '工作时间': '2015.08-2016.08', '是否为实习经历': False}]","[{'名称': '普通话一级甲等', '获得时间': None}, {'名称': '全国计算机二级', '获得时间': None}, {'名称': '大学英语四级', '获得时间': None}, {'名称': '大学英语六级', '获得时间': None}]",,,"[{'名称': '广州科学技术职业学院自强社“优秀社员”', '获得时间': '2015年'}, {'名称': '三下乡”社会实践活动“优秀学生”', '获得时间': '2014年'}, {'名称': '广州科学技术职业学院学生田径运动会10人立定跳远团体赛第三名', '获得时间': '2014年'}, {'名称': '学生军事技能训练“优秀学员”', '获得时间': '2014年'}, {'名称': '广州科学技术职业学院盼盼杯烘焙食品创意大赛优秀奖', '获得时间': '2013年'}, {'名称': '广州科学技术职业学院大学生主题征文一等奖', '获得时间': '2013年'}, {'名称': '广州科学技术职业学院微博文征集大赛二等奖', '获得时间': '2013年'}]",,,,,8
